VCD info: dumpfile results/tb_grid.vcd opened for output.
Time: 2101120 | din: 149 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   4 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2201120 | din: 234 | trig: 1 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   4 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2201170 | din: 234 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   4 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2201385 | din: 234 | trig: 0 | rst: 0 | dout0:   7 | dout1:   0 | dout2:   4 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2201395 | din: 234 | trig: 0 | rst: 0 | dout0:   7 | dout1:   0 | dout2:   3 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2301170 | din: 207 | trig: 1 | rst: 0 | dout0:   7 | dout1:   0 | dout2:   3 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2301220 | din: 207 | trig: 0 | rst: 0 | dout0:   7 | dout1:   0 | dout2:   3 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2301235 | din: 207 | trig: 0 | rst: 0 | dout0:   7 | dout1:   0 | dout2:   4 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2301245 | din: 207 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   4 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2401220 | din:  30 | trig: 1 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   4 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2401270 | din:  30 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   4 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2401475 | din:  30 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   3 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2501270 | din:  65 | trig: 1 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   3 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2501320 | din:  65 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   3 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2501795 | din:  65 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   3 | dout3:  12 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2501865 | din:  65 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:  12 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2601320 | din: 193 | trig: 1 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:  12 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2601370 | din: 193 | trig: 0 | rst: 0 | dout0:   6 | dout1:   0 | dout2:   2 | dout3:  12 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2601475 | din: 193 | trig: 0 | rst: 0 | dout0:   7 | dout1:   0 | dout2:   2 | dout3:  12 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2601705 | din: 193 | trig: 0 | rst: 0 | dout0:   7 | dout1:   0 | dout2:   2 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2601995 | din: 193 | trig: 0 | rst: 0 | dout0:   7 | dout1:   0 | dout2:   1 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2701370 | din:  60 | trig: 1 | rst: 0 | dout0:   7 | dout1:   0 | dout2:   1 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2701420 | din:  60 | trig: 0 | rst: 0 | dout0:   7 | dout1:   0 | dout2:   1 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2701445 | din:  60 | trig: 0 | rst: 0 | dout0:   7 | dout1:   0 | dout2:   2 | dout3:  11 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2701635 | din:  60 | trig: 0 | rst: 0 | dout0:   7 | dout1:   0 | dout2:   2 | dout3:  12 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
Time: 2801420 | din: 249 | trig: 1 | rst: 0 | dout0:   7 | dout1:   0 | dout2:   2 | dout3:  12 | dout4:   0 | dout5:   0 | dout6:   0 | dout7:   0
